NA,target.row,dist.to.feature,feature.name,feature.strand
1385.3,352,3611,NM_004421,-
1385.4,353,3593,NM_004421,-
1385.5,354,3580,NM_004421,-
1385.6,355,3564,NM_004421,-
1385.7,356,3556,NM_004421,-
1385.8,357,3555,NM_004421,-
1385.9,358,3487,NM_004421,-
1385.1,359,3482,NM_004421,-
1385.11,360,-2393,NM_004421,-
1385.12,361,-2520,NM_004421,-
1399,362,3980,NM_001282585,-
1399.1,363,3973,NM_001282585,-
1399.2,364,3966,NM_001282585,-
1399.3,365,3956,NM_001282585,-
1399.4,366,3947,NM_001282585,-
1399.5,367,3946,NM_001282585,-
1399.6,368,3928,NM_001282585,-
1399.7,369,3914,NM_001282585,-
1399.8,370,3828,NM_001282585,-
1399.9,371,3392,NM_001282585,-
1399.1,372,2957,NM_001282585,-
1399.11,373,2955,NM_001282585,-
1399.12,374,2936,NM_001282585,-
1399.13,375,2935,NM_001282585,-
1399.14,376,2934,NM_001282585,-
1399.15,377,2933,NM_001282585,-
1399.16,378,2927,NM_001282585,-
1399.17,379,2923,NM_001282585,-
1399.18,380,2915,NM_001282585,-
1399.19,381,2895,NM_001282585,-
1399.2,382,2894,NM_001282585,-
1399.21,383,2893,NM_001282585,-
1399.22,384,2892,NM_001282585,-
1399.23,385,2879,NM_001282585,-
1399.24,386,2871,NM_001282585,-
1399.25,387,2867,NM_001282585,-
1399.26,388,881,NM_001282585,-
1393,389,61,NM_032348,-
1391,390,1538,NM_001127230,-
1411,391,1555,NM_001145210,-
1411.1,392,1554,NM_001145210,-
1411.2,393,1519,NM_001145210,-
1411.3,394,1517,NM_001145210,-
1411.4,395,1463,NM_001145210,-
1411.5,396,1456,NM_001145210,-
1411.6,397,1432,NM_001145210,-
1411.7,398,1414,NM_001145210,-
1411.8,399,1413,NM_001145210,-
1411.9,400,1410,NM_001145210,-
1411.1,401,1403,NM_001145210,-
1411.11,402,1398,NM_001145210,-
1411.12,403,1386,NM_001145210,-
1411.13,404,1371,NM_001145210,-
1411.14,405,1359,NM_001145210,-
1411.15,406,1347,NM_001145210,-
1411.16,407,1345,NM_001145210,-
1411.17,408,1084,NM_001145210,-
1411.18,409,1071,NM_001145210,-
1411.19,410,1068,NM_001145210,-
1411.2,411,1059,NM_001145210,-
1411.21,412,1054,NM_001145210,-
1414,413,-312,NM_001146685,+
1414.1,414,76,NM_001146685,+
1414.2,415,1648,NM_001146685,+
1414.3,416,1649,NM_001146685,+
1414.4,417,1664,NM_001146685,+
1414.5,418,1683,NM_001146685,+
1414.6,419,1694,NM_001146685,+
1414.7,420,1700,NM_001146685,+
1414.8,421,1715,NM_001146685,+
1414.9,422,1717,NM_001146685,+
1414.1,423,2162,NM_001146685,+
1414.11,424,4431,NM_001146685,+
1414.12,425,4511,NM_001146685,+
1412,426,-1769,NM_022834,+
1412.1,427,-1758,NM_022834,+
1418,428,683,NM_199121,+
1418.1,429,702,NM_199121,+
1418.2,430,732,NM_199121,+
1418.3,431,1536,NM_199121,+
1418.4,432,6120,NM_199121,+
1413,433,3372,NM_001039211,+
1436,434,11670,NM_001114748,-
1436.1,435,526,NM_001114748,-
1436.2,436,495,NM_001114748,-
1436.3,437,489,NM_001114748,-
1436.4,438,481,NM_001114748,-
1436.5,439,475,NM_001114748,-
1436.6,440,456,NM_001114748,-
1436.7,441,442,NM_001114748,-
1436.8,442,295,NM_001114748,-
1436.9,443,283,NM_001114748,-
1436.1,444,265,NM_001114748,-
1436.11,445,-431,NM_001114748,-
1436.12,446,-440,NM_001114748,-
1436.13,447,-446,NM_001114748,-
1436.14,448,-447,NM_001114748,-
1436.15,449,-448,NM_001114748,-
1436.16,450,-449,NM_001114748,-
1436.17,451,-453,NM_001114748,-
1436.18,452,-454,NM_001114748,-
1436.19,453,-480,NM_001114748,-
1436.2,454,-10221,NM_001114748,-
1435,455,2033,NM_001242659,-
1435.1,456,1795,NM_001242659,-
1424,457,7530,NM_001170689,+
1424.1,458,7539,NM_001170689,+
1424.2,459,7870,NM_001170689,+
1433,460,-3105,NM_006983,+
1433.1,461,-3084,NM_006983,+
1433.2,462,-2790,NM_006983,+
1433.3,463,-2766,NM_006983,+
1433.4,464,-2751,NM_006983,+
1433.5,465,-2747,NM_006983,+
1433.6,466,-2732,NM_006983,+
1433.7,467,-2716,NM_006983,+
1433.8,468,-2707,NM_006983,+
1433.9,469,-1816,NM_006983,+
1433.1,470,-1416,NM_006983,+
1433.11,471,-1386,NM_006983,+
1433.12,472,-1382,NM_006983,+
1433.13,473,-792,NM_006983,+
1433.14,474,-775,NM_006983,+
1433.15,475,-766,NM_006983,+
1433.16,476,-765,NM_006983,+
1433.17,477,-677,NM_006983,+
1433.18,478,-664,NM_006983,+
1433.19,479,46,NM_006983,+
1433.2,480,48,NM_006983,+
1433.21,481,55,NM_006983,+
1433.22,482,65,NM_006983,+
1433.23,483,73,NM_006983,+
1433.24,484,74,NM_006983,+
1433.25,485,83,NM_006983,+
1433.26,486,86,NM_006983,+
1433.27,487,90,NM_006983,+
1433.28,488,93,NM_006983,+
1433.29,489,107,NM_006983,+
1433.3,490,135,NM_006983,+
1433.31,491,137,NM_006983,+
1433.32,492,154,NM_006983,+
1433.33,493,191,NM_006983,+
1433.34,494,201,NM_006983,+
1433.35,495,204,NM_006983,+
1433.36,496,223,NM_006983,+
253,497,-2493,NM_001198994,-
253.1,498,-2498,NM_001198994,-
253.2,499,-2544,NM_001198994,-
253.3,500,-2561,NM_001198994,-
1449,501,-4962,NM_138705,+
1449.1,502,-4951,NM_138705,+
1448,503,524,NM_178545,-
1448.1,504,514,NM_178545,-
1448.2,505,508,NM_178545,-
1448.3,506,502,NM_178545,-
1448.4,507,-2379,NM_178545,-
1448.5,508,-2413,NM_178545,-
1448.6,509,-9151,NM_178545,-
1448.7,510,-9470,NM_178545,-
1448.8,511,-23748,NM_178545,-
1448.9,512,-23763,NM_178545,-
1448.1,513,-23765,NM_178545,-
1448.11,514,-23774,NM_178545,-
1448.12,515,-23775,NM_178545,-
1448.13,516,-23786,NM_178545,-
1448.14,517,-23801,NM_178545,-
1448.15,518,-23871,NM_178545,-
1448.16,519,-24003,NM_178545,-
1448.17,520,-24010,NM_178545,-
1448.18,521,-24011,NM_178545,-
1448.19,522,-24021,NM_178545,-
1448.2,523,-24034,NM_178545,-
1448.21,524,-24068,NM_178545,-
1448.22,525,-24102,NM_178545,-
1448.23,526,-24106,NM_178545,-
1448.24,527,-24133,NM_178545,-
1451,528,38721,NM_001080484,-
1451.1,529,38710,NM_001080484,-
1451.2,530,38695,NM_001080484,-
1451.3,531,38694,NM_001080484,-
1451.4,532,37390,NM_001080484,-
1451.5,533,29254,NM_001080484,-
1451.6,534,18979,NM_001080484,-
1451.7,535,17891,NM_001080484,-
1451.8,536,17845,NM_001080484,-
1451.9,537,237,NM_001080484,-
1451.1,538,69,NM_001080484,-
1451.11,539,68,NM_001080484,-
1451.12,540,66,NM_001080484,-
1451.13,541,65,NM_001080484,-
1451.14,542,56,NM_001080484,-
1451.15,543,55,NM_001080484,-
1451.16,544,44,NM_001080484,-
1451.17,545,42,NM_001080484,-
1451.18,546,39,NM_001080484,-
1451.19,547,37,NM_001080484,-
1451.2,548,36,NM_001080484,-
1451.21,549,34,NM_001080484,-
1451.22,550,31,NM_001080484,-
1451.23,551,19,NM_001080484,-
1451.24,552,-118,NM_001080484,-
1451.25,553,-130,NM_001080484,-
1451.26,554,-132,NM_001080484,-
1451.27,555,-164,NM_001080484,-
1451.28,556,-5464,NM_001080484,-
1450,557,-1414,NM_000815,+
1450.1,558,621,NM_000815,+
1450.2,559,635,NM_000815,+
1450.3,560,639,NM_000815,+
1450.4,561,2271,NM_000815,+
1450.5,562,2292,NM_000815,+
1450.6,563,2314,NM_000815,+
1450.7,564,2326,NM_000815,+
1450.8,565,2328,NM_000815,+
1450.9,566,2343,NM_000815,+
1450.1,567,6498,NM_000815,+
1450.11,568,6502,NM_000815,+
1450.12,569,6515,NM_000815,+
1450.13,570,11169,NM_000815,+
23,571,-5228,NM_002744,+
23.1,572,-5210,NM_002744,+
23.2,573,-5198,NM_002744,+
23.3,574,422,NM_002744,+
23.4,575,1126,NM_002744,+
23.5,576,1149,NM_002744,+
23.6,577,1164,NM_002744,+
23.7,578,1866,NM_002744,+
23.8,579,1931,NM_002744,+
23.9,580,4133,NM_002744,+
23.1,581,4146,NM_002744,+
23.11,582,6859,NM_002744,+
23.12,583,10241,NM_002744,+
23.13,584,10242,NM_002744,+
30,585,-5451,NM_001033581,+
29,586,7577,NM_001242874,+
29.1,587,11336,NM_001242874,+
31,588,-7153,NM_001033582,+
31.1,589,3163,NM_001033582,+
31.2,590,3197,NM_001033582,+
31.3,591,3198,NM_001033582,+
31.4,592,10611,NM_001033582,+
31.5,593,11349,NM_001033582,+
31.6,594,21203,NM_001033582,+
31.7,595,21215,NM_001033582,+
1452,596,40519,NR_046427,-
1452.1,597,40498,NR_046427,-
1452.2,598,23035,NR_046427,-
1452.3,599,1033,NR_046427,-
1452.4,600,1029,NR_046427,-
1452.5,601,943,NR_046427,-
1452.6,602,940,NR_046427,-
1452.7,603,882,NR_046427,-
1452.8,604,578,NR_046427,-
1452.9,605,554,NR_046427,-
1454,606,3213,NM_001146310,-
1454.1,607,3209,NM_001146310,-
1454.2,608,3190,NM_001146310,-
1454.3,609,3005,NM_001146310,-
1454.4,610,2007,NM_001146310,-
1454.5,611,1992,NM_001146310,-
1454.6,612,1990,NM_001146310,-
1454.7,613,1987,NM_001146310,-
1454.8,614,1986,NM_001146310,-
1454.9,615,1947,NM_001146310,-
1454.1,616,1489,NM_001146310,-
1454.11,617,1441,NM_001146310,-
1454.12,618,-110,NM_001146310,-
1454.13,619,-125,NM_001146310,-
1454.14,620,-1251,NM_001146310,-
261,621,9127,NM_003036,+
261.1,622,9170,NM_003036,+
261.2,623,11578,NM_003036,+
261.3,624,11584,NM_003036,+
261.4,625,51538,NM_003036,+
1463,626,51600,NR_024489,-
1463.1,627,51584,NR_024489,-
1463.2,628,51576,NR_024489,-
1463.3,629,51574,NR_024489,-
1463.4,630,51570,NR_024489,-
1463.5,631,42998,NR_024489,-
1463.6,632,29973,NR_024489,-
1463.7,633,29817,NR_024489,-
1463.8,634,28624,NR_024489,-
1463.9,635,28594,NR_024489,-
1463.1,636,27609,NR_024489,-
1463.11,637,12579,NR_024489,-
1466,638,15823,NM_024848,-
1466.1,639,15799,NM_024848,-
1466.2,640,15183,NM_024848,-
1466.3,641,11505,NM_024848,-
1466.4,642,6446,NM_024848,-
1462,643,6451,NM_002617,-
1465,644,-3025,NM_153818,-
1465.1,645,-5566,NM_153818,-
1465.2,646,-7073,NM_153818,-
1465.3,647,-7095,NM_153818,-
1465.4,648,-7096,NM_153818,-
1465.5,649,-7123,NM_153818,-
1465.6,650,-15472,NM_153818,-
1465.7,651,-15473,NM_153818,-
1465.8,652,-16083,NM_153818,-
1465.9,653,-16117,NM_153818,-
1465.1,654,-16141,NM_153818,-
1465.11,655,-16234,NM_153818,-
1465.12,656,-16349,NM_153818,-
1465.13,657,-16355,NM_153818,-
1465.14,658,-16377,NM_153818,-
1465.15,659,-16378,NM_153818,-
1465.16,660,-16443,NM_153818,-
1465.17,661,-22131,NM_153818,-
1465.18,662,-22717,NM_153818,-
1465.19,663,-27676,NM_153818,-
1465.2,664,-28319,NM_153818,-
1465.21,665,-28325,NM_153818,-
1465.22,666,-31032,NM_153818,-
1465.23,667,-31050,NM_153818,-
1465.24,668,-31053,NM_153818,-
1465.25,669,-31055,NM_153818,-
1465.26,670,-31601,NM_153818,-
1465.27,671,-31803,NM_153818,-
1467,672,-29752,NM_014638,+
1467.1,673,-28567,NM_014638,+
1467.2,674,-28553,NM_014638,+
1467.3,675,-25005,NM_014638,+
1467.4,676,-24549,NM_014638,+
1467.5,677,-24533,NM_014638,+
1467.6,678,-24067,NM_014638,+
1467.7,679,-24049,NM_014638,+
1467.8,680,-23450,NM_014638,+
1467.9,681,-23374,NM_014638,+
1467.1,682,-23364,NM_014638,+
1467.11,683,-21203,NM_014638,+
1467.12,684,-21142,NM_014638,+
1467.13,685,-21120,NM_014638,+
1467.14,686,-20535,NM_014638,+
1467.15,687,-20524,NM_014638,+
1467.16,688,-20523,NM_014638,+
1467.17,689,-19235,NM_014638,+
1467.18,690,-17830,NM_014638,+
1467.19,691,-17823,NM_014638,+
1467.2,692,-17806,NM_014638,+
1467.21,693,-17769,NM_014638,+
1467.22,694,-17260,NM_014638,+
1467.23,695,-17246,NM_014638,+
1467.24,696,-15917,NM_014638,+
1467.25,697,-15863,NM_014638,+
1467.26,698,-15838,NM_014638,+
1467.27,699,-12360,NM_014638,+
1467.28,700,-11026,NM_014638,+
1467.29,701,-7944,NM_014638,+
1467.3,702,-7933,NM_014638,+
1467.31,703,-7932,NM_014638,+
1467.32,704,-7915,NM_014638,+
1467.33,705,-2056,NM_014638,+
1467.34,706,-2044,NM_014638,+
1467.35,707,306,NM_014638,+
1467.36,708,1081,NM_014638,+
1467.37,709,1089,NM_014638,+
1467.38,710,1113,NM_014638,+
1467.39,711,1767,NM_014638,+
1467.4,712,1786,NM_014638,+
1467.41,713,3330,NM_014638,+
1467.42,714,3385,NM_014638,+
1467.43,715,4561,NM_014638,+
1467.44,716,4580,NM_014638,+
1467.45,717,9641,NM_014638,+
1467.46,718,16491,NM_014638,+
1467.47,719,16522,NM_014638,+
1467.48,720,16523,NM_014638,+
1467.49,721,16540,NM_014638,+
1467.5,722,16555,NM_014638,+
1467.51,723,19313,NM_014638,+
1467.52,724,22195,NM_014638,+
1467.53,725,22210,NM_014638,+
1467.54,726,22211,NM_014638,+
1467.55,727,22227,NM_014638,+
1467.56,728,22228,NM_014638,+
1468,729,24263,NM_018216,-
1468.1,730,24248,NM_018216,-
1468.2,731,23821,NM_018216,-
1468.3,732,22799,NM_018216,-
1468.4,733,22465,NM_018216,-
1468.5,734,22454,NM_018216,-
1468.6,735,22451,NM_018216,-
1468.7,736,21667,NM_018216,-
1468.8,737,21202,NM_018216,-
1468.9,738,21152,NM_018216,-
1468.1,739,20288,NM_018216,-
1468.11,740,20004,NM_018216,-
1468.12,741,19944,NM_018216,-
1468.13,742,19729,NM_018216,-
1468.14,743,19723,NM_018216,-
1468.15,744,19720,NM_018216,-
1471,745,663,NM_001010926,-
1471.1,746,659,NM_001010926,-
1471.2,747,657,NM_001010926,-
1471.3,748,654,NM_001010926,-
1471.4,749,650,NM_001010926,-
1471.5,750,648,NM_001010926,-
1471.6,751,246,NM_001010926,-
1471.7,752,239,NM_001010926,-
1471.8,753,42,NM_001010926,-
1471.9,754,38,NM_001010926,-
1471.1,755,33,NM_001010926,-
1471.11,756,28,NM_001010926,-
1471.12,757,27,NM_001010926,-
1471.13,758,24,NM_001010926,-
1471.14,759,23,NM_001010926,-
1471.15,760,20,NM_001010926,-
1471.16,761,19,NM_001010926,-
1471.17,762,18,NM_001010926,-
1471.18,763,17,NM_001010926,-
1471.19,764,3,NM_001010926,-
1471.2,765,0,NM_001010926,-
1471.21,766,-5,NM_001010926,-
1471.22,767,-21,NM_001010926,-
1471.23,768,-27,NM_001010926,-
1471.24,769,-29,NM_001010926,-
